Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.56      1.53     0.01  2605839     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_M_get_Tp_allocator()
  0.56      1.54     0.01  1900599     0.00     0.00  std::_Select1st<std::pair<point const, double> >::operator()(std::pair<point const, double> const&) const
  0.56      1.55     0.01  1875567     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_S_key(std::_Rb_tree_node<std::pair<point const, double> > const*)
  0.56      1.56     0.01  1469201     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_M_begin()
  0.56      1.57     0.01  1469191     0.00     0.00  std::_Rb_tree_iterator<std::pair<point const, std::vector<point, std::allocator<point> > > >::operator==(std::_Rb_tree_iterator<std::pair<point const, std::vector<point, std::allocator<point> > > > const&) const
  0.56      1.58     0.01  1469181     0.00     0.00  std::map<point, std::vector<point, std::allocator<point> >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::lower_bound(point const&)
  0.56      1.59     0.01  1469181     0.00     0.00  std::map<point, std::vector<point, std::allocator<point> >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::end()
  0.56      1.60     0.01  1289453     0.00     0.00  __gnu_cxx::new_allocator<point>::max_size() const
  0.56      1.61     0.01  1289453     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_M_allocate(unsigned int)
  0.56      1.62     0.01  1272600     0.00     0.00  std::allocator<point>::allocator(std::allocator<point> const&)
  0.56      1.63     0.01  1272600     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::~_Vector_base()
  0.56      1.64     0.01  1272600     0.00     0.00  std::vector<point, std::allocator<point> >::~vector()
  0.56      1.65     0.01  1272600     0.00     0.00  void std::_Destroy<point*>(point*, point*)
  0.56      1.66     0.01  1267560     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::get_allocator() const
  0.56      1.67     0.01  1267560     0.00     0.00  std::vector<point, std::allocator<point> >::vector(std::vector<point, std::allocator<point> > const&)
  0.56      1.68     0.01   203758     0.00     0.00  std::map<point, double, std::less<point>, std::allocator<std::pair<point const, double> > >::operator[](point const&)
  0.56      1.69     0.01   203758     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::lower_bound(point const&)
  0.56      1.70     0.01    52954     0.00     0.00  __gnu_cxx::new_allocator<point>::construct(point*, point const&)
  0.56      1.71     0.01     5040     0.00     0.00  std::allocator<point>::allocator()
  0.56      1.72     0.01       10     1.00     1.00  std::map<point, double, std::less<point>, std::allocator<std::pair<point const, double> > >::clear()
  0.56      1.73     0.01                             frame_dummy
  0.28      1.74     0.01 12662055     0.00     0.00  std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >::operator()(std::pair<point const, std::vector<point, std::allocator<point> > > const&) const
  0.28      1.74     0.01  8050634     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >::base() const
  0.28      1.75     0.01  6936044     0.00     0.00  __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >::operator*() const
  0.28      1.75     0.01  5237763     0.00     0.00  std::vector<point, std::allocator<point> >::begin()
  0.28      1.76     0.01  4076460     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >::operator+(int const&) const
  0.28      1.76     0.01  3894530     0.00     0.00  std::vector<point, std::allocator<point> >::end() const
  0.28      1.77     0.01  2943402     0.00     0.00  std::_Rb_tree_iterator<std::pair<point const, std::vector<point, std::allocator<point> > > >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<point const, std::vector<point, std::allocator<point> > > >*)
  0.28      1.77     0.01  2581504     0.00     0.00  std::vector<point, std::allocator<point> >::end()
  0.28      1.78     0.01  1476738     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_M_end()
  0.28      1.78     0.01  1272600     0.00     0.00  std::allocator<point>::~allocator()
  0.28      1.79     0.01  1262530     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > >(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > const&)
  0.28      1.79     0.01     6334     0.00     0.00  std::priority_queue<point, std::vector<point, std::allocator<point> >, heapCompare>::empty() const
  0.28      1.80     0.01     6324     0.00     0.00  std::priority_queue<point, std::vector<point, std::allocator<point> >, heapCompare>::top() const
  0.28      1.80     0.01                             std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_M_rightmost()
  0.00      1.80     0.00  7795384     0.00     0.00  __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >::__normal_iterator(point const* const&)
  0.00      1.80     0.00  6929720     0.00     0.00  __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >::operator++()
  0.00      1.80     0.00  6322427     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      1.80     0.00  3873399     0.00     0.00  std::allocator<point>::allocator(std::allocator<point> const&)
  0.00      1.80     0.00  1875567     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_S_value(std::_Rb_tree_node<std::pair<point const, double> > const*)
  0.00      1.80     0.00  1469171     0.00     0.00  std::map<point, std::vector<point, std::allocator<point> >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::key_comp() const
